customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,Monthly,Total,Contas_Diarias,Ticket_Mensal_Medio,Churn_bin,Qtd_Servicos,Churn_Permanência,gender_Masculino,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One Year,Contract_Two Year,PaymentMethod_Credit Card (Automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Faixa_Tempo_1-2a,Faixa_Tempo_2-3a,Faixa_Tempo_3+a,Faixa_Tempo_6-12m
0002-ORFBO,0,1,1,9,1,1,65.6,593.3,2.197407407407407,65.92222222222222,0,3,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,True
0003-MKNFE,0,0,0,9,1,0,59.9,542.4,2.008888888888889,60.266666666666666,0,1,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0004-TLHLJ,0,0,0,4,1,1,73.9,280.85,2.340416666666667,70.2125,1,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0011-IGKFF,1,1,0,13,1,1,98.0,1237.85,3.1739743589743585,95.21923076923076,1,4,False,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,False
0013-EXCHZ,1,1,0,3,1,1,83.9,267.4,2.971111111111111,89.13333333333333,1,2,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
0013-MHZWF,0,0,1,9,1,1,69.4,571.45,2.1164814814814816,63.49444444444445,0,3,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True
0013-SMEOE,1,1,0,71,1,1,109.7,7904.25,3.7109154929577466,111.3274647887324,0,6,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False
0014-BMAQU,0,1,0,63,1,1,84.65,5377.8,2.8453968253968256,85.36190476190477,0,2,True,True,True,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False
0015-UOCOJ,1,0,0,7,1,1,48.2,340.35,1.6207142857142858,48.621428571428574,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0016-QLJIS,0,1,1,65,1,1,90.45,5957.9,3.055333333333333,91.66,0,6,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False
0017-DINOC,0,0,0,54,0,0,45.2,2460.55,1.518858024691358,45.56574074074074,0,3,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False
0017-IUDMW,0,1,1,72,1,1,116.8,8456.75,3.915162037037037,117.45486111111111,0,6,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False
0018-NYROU,0,1,0,5,1,1,68.95,351.5,2.3433333333333333,70.3,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0019-EFAEP,0,0,0,72,1,1,101.3,7261.25,3.361689814814815,100.85069444444444,0,4,True,False,True,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False
0019-GFNTW,0,0,0,56,0,0,45.05,2560.1,1.5238690476190475,45.71607142857143,0,4,True,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False
