customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total,Contas_Diarias,Faixa_Tempo,Ticket_Mensal_Medio,Churn_bin,Qtd_Servicos
0002-ORFBO,Permanência,Feminino,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One Year,1,Mailed Check,65.6,593.3,2.197407407407407,6-12m,65.92222222222222,0,3
0003-MKNFE,Permanência,Masculino,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Month-To-Month,0,Mailed Check,59.9,542.4,2.008888888888889,6-12m,60.266666666666666,0,1
0004-TLHLJ,Evasão,Masculino,0,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Month-To-Month,1,Electronic Check,73.9,280.85,2.340416666666667,0-6m,70.2125,1,1
0011-IGKFF,Evasão,Masculino,1,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-To-Month,1,Electronic Check,98.0,1237.85,3.1739743589743585,1-2a,95.21923076923076,1,4
0013-EXCHZ,Evasão,Feminino,1,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-To-Month,1,Mailed Check,83.9,267.4,2.971111111111111,0-6m,89.13333333333333,1,2
0013-MHZWF,Permanência,Feminino,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-To-Month,1,Credit Card (Automatic),69.4,571.45,2.1164814814814816,6-12m,63.49444444444445,0,3
0013-SMEOE,Permanência,Feminino,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,1,Bank Transfer (Automatic),109.7,7904.25,3.7109154929577466,3+a,111.3274647887324,0,6
0014-BMAQU,Permanência,Masculino,0,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two Year,1,Credit Card (Automatic),84.65,5377.8,2.8453968253968256,3+a,85.36190476190477,0,2
0015-UOCOJ,Permanência,Feminino,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-To-Month,1,Electronic Check,48.2,340.35,1.6207142857142858,6-12m,48.621428571428574,0,1
0016-QLJIS,Permanência,Feminino,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,1,Mailed Check,90.45,5957.9,3.055333333333333,3+a,91.66,0,6
0017-DINOC,Permanência,Masculino,0,0,0,54,0,No,DSL,Yes,No,No,Yes,Yes,No,Two Year,0,Credit Card (Automatic),45.2,2460.55,1.518858024691358,3+a,45.56574074074074,0,3
0017-IUDMW,Permanência,Feminino,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,1,Credit Card (Automatic),116.8,8456.75,3.915162037037037,3+a,117.45486111111111,0,6
0018-NYROU,Permanência,Feminino,0,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,68.95,351.5,2.3433333333333333,0-6m,70.3,0,0
0019-EFAEP,Permanência,Feminino,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two Year,1,Bank Transfer (Automatic),101.3,7261.25,3.361689814814815,3+a,100.85069444444444,0,4
0019-GFNTW,Permanência,Feminino,0,0,0,56,0,No,DSL,Yes,Yes,Yes,Yes,No,No,Two Year,0,Bank Transfer (Automatic),45.05,2560.1,1.5238690476190475,3+a,45.716071428571425,0,4
0020-INWCK,Permanência,Feminino,0,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two Year,1,Credit Card (Automatic),95.75,6849.4,3.215680751173709,3+a,96.47042253521126,0,3
0020-JDNXP,Permanência,Feminino,0,1,1,34,0,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One Year,0,Mailed Check,61.25,1993.2,1.9541176470588235,2-3a,58.62352941176471,0,5
0021-IKXGC,Permanência,Feminino,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,72.1,72.1,2.4033333333333333,0-6m,72.1,0,0
0022-TCJCI,Evasão,Masculino,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One Year,0,Credit Card (Automatic),62.7,2791.5,2.0677777777777777,3+a,62.03333333333333,1,3
0023-HGHWL,Evasão,Masculino,1,0,0,1,0,No,DSL,No,No,No,No,No,No,Month-To-Month,1,Electronic Check,25.1,25.1,0.8366666666666667,0-6m,25.1,1,0
0023-UYUPN,Permanência,Feminino,1,1,0,50,1,Yes,No,No,No,No,No,No,No,One Year,0,Electronic Check,25.2,1306.3,0.8708666666666667,3+a,26.125999999999998,0,0
0023-XUOPT,Evasão,Feminino,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-To-Month,0,Electronic Check,94.1,1215.6,3.1169230769230767,1-2a,93.5076923076923,1,3
0027-KWYKW,Permanência,Feminino,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-To-Month,1,Electronic Check,83.75,1849.95,2.6810869565217392,1-2a,80.43260869565218,0,1
0030-FNXPP,Permanência,Feminino,0,0,0,3,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,19.85,57.2,0.6355555555555555,0-6m,19.066666666666666,0,0
0031-PVLZI,Evasão,Feminino,0,1,1,4,1,No,No,No,No,No,No,No,No,Month-To-Month,0,Mailed Check,20.35,76.35,0.63625,0-6m,19.0875,1,0
0032-PGELS,Evasão,Feminino,0,1,1,1,0,No,DSL,Yes,No,No,No,No,No,Month-To-Month,0,Bank Transfer (Automatic),30.5,30.5,1.0166666666666666,0-6m,30.5,1,1
0036-IHMOT,Permanência,Feminino,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One Year,1,Bank Transfer (Automatic),103.7,5656.75,3.4283333333333332,3+a,102.85,0,5
0040-HALCW,Permanência,Masculino,0,1,1,54,1,No,No,No,No,No,No,No,No,Two Year,0,Credit Card (Automatic),20.4,1090.6,0.6732098765432099,3+a,20.196296296296296,0,0
0042-JVWOJ,Permanência,Masculino,0,0,0,26,1,No,No,No,No,No,No,No,No,One Year,1,Bank Transfer (Automatic),19.6,471.85,0.6049358974358975,2-3a,18.148076923076925,0,0
0042-RLHYP,Permanência,Feminino,0,1,1,69,1,No,No,No,No,No,No,No,No,Two Year,0,Bank Transfer (Automatic),19.7,1396.9,0.6748309178743962,3+a,20.244927536231884,0,0
0048-LUMLS,Permanência,Masculino,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One Year,0,Credit Card (Automatic),91.2,3247.55,2.925720720720721,3+a,87.77162162162162,0,2
0048-PIHNL,Permanência,Feminino,0,1,0,49,1,No,No,No,No,No,No,No,No,One Year,0,Bank Transfer (Automatic),20.45,900.9,0.6128571428571429,3+a,18.385714285714286,0,0
0052-DCKON,Permanência,Masculino,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,0,Bank Transfer (Automatic),115.8,7942.15,4.011186868686869,3+a,120.33560606060605,0,6
0052-YNYOT,Permanência,Feminino,0,0,0,67,1,No,No,No,No,No,No,No,No,One Year,0,Electronic Check,20.55,1343.4,0.6683582089552239,3+a,20.050746268656717,0,0
0056-EPFBG,Permanência,Masculino,0,1,1,20,0,No,DSL,Yes,No,Yes,Yes,No,No,Two Year,1,Credit Card (Automatic),39.4,825.4,1.3756666666666666,1-2a,41.269999999999996,0,3
0057-QBUQH,Permanência,Feminino,0,0,1,43,1,Yes,No,No,No,No,No,No,No,Two Year,1,Electronic Check,25.1,1070.15,0.8295736434108528,3+a,24.887209302325584,0,0
0058-EVZWM,Permanência,Feminino,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-To-Month,1,Bank Transfer (Automatic),89.8,4959.6,3.005818181818182,3+a,90.17454545454547,0,2
0060-FUALY,Permanência,Feminino,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-To-Month,1,Electronic Check,94.75,5597.65,3.1625141242937853,3+a,94.87542372881356,0,3
0064-SUDOG,Permanência,Feminino,0,1,1,12,1,No,No,No,No,No,No,No,No,Two Year,0,Bank Transfer (Automatic),20.3,224.5,0.6236111111111111,6-12m,18.708333333333332,0,0
0064-YIJGF,Permanência,Masculino,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-To-Month,1,Bank Transfer (Automatic),75.75,1929.0,2.3814814814814813,2-3a,71.44444444444444,0,0
0067-DKWBL,Evasão,Masculino,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-To-Month,1,Electronic Check,49.25,91.1,1.5183333333333333,0-6m,45.55,1,1
0068-FIGTF,Permanência,Feminino,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One Year,0,Mailed Check,78.2,2078.95,2.5666049382716047,2-3a,76.99814814814815,0,5
0071-NDAFP,Permanência,Masculino,0,1,1,25,1,Yes,No,No,No,No,No,No,No,Two Year,0,Credit Card (Automatic),25.5,630.6,0.8408,2-3a,25.224,0,0
0074-HDKDG,Permanência,Masculino,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One Year,1,Bank Transfer (Automatic),61.6,1611.0,2.148,2-3a,64.44,0,3
0076-LVEPS,Permanência,Masculino,0,0,1,29,0,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-To-Month,1,Mailed Check,45.0,1242.45,1.428103448275862,2-3a,42.84310344827586,0,4
0078-XZMHT,Permanência,Masculino,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,1,Bank Transfer (Automatic),85.15,6316.2,2.924166666666667,3+a,87.725,0,5
0080-EMYVY,Permanência,Feminino,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One Year,0,Credit Card (Automatic),51.45,727.85,1.7329761904761904,1-2a,51.989285714285714,0,1
